batting_team,partnership,batter1,batter2,partner_labels,net_runs,batter1_runs,batter2_runs,matches
Northern Diamonds,HJ Armitage & RHM Hopkins,HJ Armitage,RHM Hopkins,HJ Armitage & RHM Hopkins (Northern Diamonds),173,104,38,8
Northern Diamonds,HL Fenby & AL MacDonald,HL Fenby,AL MacDonald,HL Fenby & AL MacDonald (Northern Diamonds),2,1,1,1
Northern Diamonds,HL Fenby & BA Langston,HL Fenby,BA Langston,HL Fenby & BA Langston (Northern Diamonds),27,11,13,1
Northern Diamonds,HL Fenby & PC Graham,HL Fenby,PC Graham,HL Fenby & PC Graham (Northern Diamonds),22,6,15,1
Northern Diamonds,JL Gunn & A Campbell,JL Gunn,A Campbell,JL Gunn & A Campbell (Northern Diamonds),7,5,1,2
Northern Diamonds,JL Gunn & AL MacDonald,JL Gunn,AL MacDonald,JL Gunn & AL MacDonald (Northern Diamonds),163,68,86,3
Northern Diamonds,JL Gunn & BA Langston,JL Gunn,BA Langston,JL Gunn & BA Langston (Northern Diamonds),101,42,50,2
Northern Diamonds,JL Gunn & BAM Heath,JL Gunn,BAM Heath,JL Gunn & BAM Heath (Northern Diamonds),13,7,6,1
Northern Diamonds,JL Gunn & NR Sciver,JL Gunn,NR Sciver,JL Gunn & NR Sciver (Northern Diamonds),55,20,28,1
Northern Diamonds,JL Gunn & SL Kalis,JL Gunn,SL Kalis,JL Gunn & SL Kalis (Northern Diamonds),196,100,82,4
Northern Diamonds,KA Levick & A Campbell,KA Levick,A Campbell,KA Levick & A Campbell (Northern Diamonds),28,8,19,1
Northern Diamonds,KA Levick & BA Langston,KA Levick,BA Langston,KA Levick & BA Langston (Northern Diamonds),18,8,10,2
Northern Diamonds,KA Levick & HL Fenby,KA Levick,HL Fenby,KA Levick & HL Fenby (Northern Diamonds),5,3,1,1
Northern Diamonds,KA Levick & LCN Smith,KA Levick,LCN Smith,KA Levick & LCN Smith (Northern Diamonds),1,0,0,1
Northern Diamonds,KA Levick & PC Graham,KA Levick,PC Graham,KA Levick & PC Graham (Northern Diamonds),21,8,11,1
Northern Diamonds,KH Brunt & JL Gunn,KH Brunt,JL Gunn,KH Brunt & JL Gunn (Northern Diamonds),31,21,8,1
Northern Diamonds,KH Brunt & L Winfield,KH Brunt,L Winfield,KH Brunt & L Winfield (Northern Diamonds),57,22,34,1
Northern Diamonds,KH Brunt & NR Sciver,KH Brunt,NR Sciver,KH Brunt & NR Sciver (Northern Diamonds),11,5,4,1
Northern Diamonds,KH Brunt & SL Kalis,KH Brunt,SL Kalis,KH Brunt & SL Kalis (Northern Diamonds),2,1,1,1
Northern Diamonds,L Dobson & BAM Heath,L Dobson,BAM Heath,L Dobson & BAM Heath (Northern Diamonds),66,33,26,1
Northern Diamonds,L Dobson & HJ Armitage,L Dobson,HJ Armitage,L Dobson & HJ Armitage (Northern Diamonds),33,16,16,1
Northern Diamonds,L Dobson & SL Kalis,L Dobson,SL Kalis,L Dobson & SL Kalis (Northern Diamonds),35,15,19,4
Northern Diamonds,L Tipton & A Campbell,L Tipton,A Campbell,L Tipton & A Campbell (Northern Diamonds),28,14,11,1
Northern Diamonds,L Winfield & HJ Armitage,L Winfield,HJ Armitage,L Winfield & HJ Armitage (Northern Diamonds),263,124,93,7
Northern Diamonds,LCN Smith & BA Langston,LCN Smith,BA Langston,LCN Smith & BA Langston (Northern Diamonds),46,8,33,3
Northern Diamonds,LCN Smith & BAM Heath,LCN Smith,BAM Heath,LCN Smith & BAM Heath (Northern Diamonds),105,37,66,2
Northern Diamonds,LCN Smith & EF Telford,LCN Smith,EF Telford,LCN Smith & EF Telford (Northern Diamonds),4,4,0,1
Northern Diamonds,LCN Smith & PC Graham,LCN Smith,PC Graham,LCN Smith & PC Graham (Northern Diamonds),3,2,1,1
Northern Diamonds,NR Sciver & BA Langston,NR Sciver,BA Langston,NR Sciver & BA Langston (Northern Diamonds),3,1,2,1
Northern Diamonds,NR Sciver & BAM Heath,NR Sciver,BAM Heath,NR Sciver & BAM Heath (Northern Diamonds),5,2,3,1
Northern Diamonds,NR Sciver & HJ Armitage,NR Sciver,HJ Armitage,NR Sciver & HJ Armitage (Northern Diamonds),71,30,21,4
Northern Diamonds,NR Sciver & L Winfield,NR Sciver,L Winfield,NR Sciver & L Winfield (Northern Diamonds),18,7,9,1
Northern Diamonds,NR Sciver & LCN Smith,NR Sciver,LCN Smith,NR Sciver & LCN Smith (Northern Diamonds),42,14,23,1
Northern Diamonds,PC Graham & A Campbell,PC Graham,A Campbell,PC Graham & A Campbell (Northern Diamonds),1,0,1,1
Northern Diamonds,PC Graham & AL MacDonald,PC Graham,AL MacDonald,PC Graham & AL MacDonald (Northern Diamonds),51,14,26,1
Northern Diamonds,PC Graham & BA Langston,PC Graham,BA Langston,PC Graham & BA Langston (Northern Diamonds),0,0,0,1
Northern Diamonds,PC Graham & JL Gunn,PC Graham,JL Gunn,PC Graham & JL Gunn (Northern Diamonds),29,15,8,1
Northern Diamonds,PC Graham & SL Kalis,PC Graham,SL Kalis,PC Graham & SL Kalis (Northern Diamonds),13,5,8,1
Northern Diamonds,R Slater & A Campbell,R Slater,A Campbell,R Slater & A Campbell (Northern Diamonds),39,6,28,1
Northern Diamonds,R Slater & LCN Smith,R Slater,LCN Smith,R Slater & LCN Smith (Northern Diamonds),1,0,0,1
Northern Diamonds,SL Kalis & AL MacDonald,SL Kalis,AL MacDonald,SL Kalis & AL MacDonald (Northern Diamonds),10,1,6,4
Northern Diamonds,SL Kalis & HJ Armitage,SL Kalis,HJ Armitage,SL Kalis & HJ Armitage (Northern Diamonds),176,80,75,6
Northern Diamonds,SL Kalis & L Winfield,SL Kalis,L Winfield,SL Kalis & L Winfield (Northern Diamonds),112,36,61,1
Northern Diamonds,SL Kalis & LCN Smith,SL Kalis,LCN Smith,SL Kalis & LCN Smith (Northern Diamonds),51,22,24,2
Northern Diamonds,SL Kalis & NR Sciver,SL Kalis,NR Sciver,SL Kalis & NR Sciver (Northern Diamonds),0,0,0,1
Northern Diamonds,SL Kalis & RHM Hopkins,SL Kalis,RHM Hopkins,SL Kalis & RHM Hopkins (Northern Diamonds),164,91,51,5
Northern Diamonds,SL Kalis & SJ Taylor,SL Kalis,SJ Taylor,SL Kalis & SJ Taylor (Northern Diamonds),5,2,2,1
South East Stars,A Capsey & A Cranstone,A Capsey,A Cranstone,A Capsey & A Cranstone (South East Stars),241,129,83,6
South East Stars,A Capsey & C Brewer,A Capsey,C Brewer,A Capsey & C Brewer (South East Stars),77,29,47,1
South East Stars,A Capsey & Emma Jones,A Capsey,Emma Jones,A Capsey & Emma Jones (South East Stars),1,1,0,1
South East Stars,A Capsey & K Moore,A Capsey,K Moore,A Capsey & K Moore (South East Stars),17,9,7,1
South East Stars,A Capsey & KM Chathli,A Capsey,KM Chathli,A Capsey & KM Chathli (South East Stars),27,13,10,1
South East Stars,A Cranstone & AN Davidson-Richards,A Cranstone,AN Davidson-Richards,A Cranstone & AN Davidson-Richards (South East Stars),9,3,6,1
South East Stars,A Cranstone & C Brewer,A Cranstone,C Brewer,A Cranstone & C Brewer (South East Stars),95,26,56,2
South East Stars,A Cranstone & GJ Gibbs,A Cranstone,GJ Gibbs,A Cranstone & GJ Gibbs (South East Stars),25,16,7,2
South East Stars,A Cranstone & KE White,A Cranstone,KE White,A Cranstone & KE White (South East Stars),123,57,50,4
South East Stars,AG Gordon & A Capsey,AG Gordon,A Capsey,AG Gordon & A Capsey (South East Stars),18,7,7,1
South East Stars,AN Davidson-Richards & K Moore,AN Davidson-Richards,K Moore,AN Davidson-Richards & K Moore (South East Stars),1,1,0,1
South East Stars,AN Davidson-Richards & KE White,AN Davidson-Richards,KE White,AN Davidson-Richards & KE White (South East Stars),14,3,4,1
South East Stars,AN Davidson-Richards & PA Franklin,AN Davidson-Richards,PA Franklin,AN Davidson-Richards & PA Franklin (South East Stars),14,4,5,1
South East Stars,AN Davidson-Richards & SIR Dunkley,AN Davidson-Richards,SIR Dunkley,AN Davidson-Richards & SIR Dunkley (South East Stars),307,158,125,3
South East Stars,BF Smith & A Capsey,BF Smith,A Capsey,BF Smith & A Capsey (South East Stars),126,77,44,4
South East Stars,BF Smith & AN Davidson-Richards,BF Smith,AN Davidson-Richards,BF Smith & AN Davidson-Richards (South East Stars),223,137,68,6
South East Stars,BF Smith & C Brewer,BF Smith,C Brewer,BF Smith & C Brewer (South East Stars),13,8,4,2
South East Stars,C Brewer & K Moore,C Brewer,K Moore,C Brewer & K Moore (South East Stars),22,17,3,1
South East Stars,D Gregory & K Moore,D Gregory,K Moore,D Gregory & K Moore (South East Stars),5,0,1,1
South East Stars,D Gregory & R Southby,D Gregory,R Southby,D Gregory & R Southby (South East Stars),0,0,0,1
South East Stars,E Gray & HV Jones,E Gray,HV Jones,E Gray & HV Jones (South East Stars),14,3,11,1
South East Stars,Emma Jones & D Gregory,Emma Jones,D Gregory,Emma Jones & D Gregory (South East Stars),9,6,1,2
South East Stars,Emma Jones & K Moore,Emma Jones,K Moore,Emma Jones & K Moore (South East Stars),50,14,36,1
South East Stars,FR Davies & D Gregory,FR Davies,D Gregory,FR Davies & D Gregory (South East Stars),7,5,1,1
South East Stars,FR Davies & NE Farrant,FR Davies,NE Farrant,FR Davies & NE Farrant (South East Stars),52,14,28,2
South East Stars,GJ Gibbs & BF Smith,GJ Gibbs,BF Smith,GJ Gibbs & BF Smith (South East Stars),41,23,18,1
South East Stars,GJ Gibbs & KM Chathli,GJ Gibbs,KM Chathli,GJ Gibbs & KM Chathli (South East Stars),5,1,4,1
South East Stars,GJ Gibbs & NE Farrant,GJ Gibbs,NE Farrant,GJ Gibbs & NE Farrant (South East Stars),4,1,3,1
South East Stars,GJ Gibbs & R Southby,GJ Gibbs,R Southby,GJ Gibbs & R Southby (South East Stars),52,35,14,2
South East Stars,HV Jones & A Cranstone,HV Jones,A Cranstone,HV Jones & A Cranstone (South East Stars),2,1,0,1
South East Stars,HV Jones & AG Gordon,HV Jones,AG Gordon,HV Jones & AG Gordon (South East Stars),8,5,1,1
South East Stars,HV Jones & M Blythin,HV Jones,M Blythin,HV Jones & M Blythin (South East Stars),40,28,9,1
