match_id,season,start_date,innings,batting_team,bowling_team,partnership,runs_off_bat,net_runs,batter1,batter1_runs,batter2,batter2_runs,message,partner_labels
1229333,2020,31-08-2020,1,Northern Diamonds,Lightning,KA Levick & BA Langston,13,13,KA Levick,7,BA Langston,6,vs Lightning (31-08-2020),KA Levick & BA Langston (Northern Diamonds)
1229333,2020,31-08-2020,1,Northern Diamonds,Lightning,KH Brunt & NR Sciver,9,11,KH Brunt,5,NR Sciver,4,vs Lightning (31-08-2020),KH Brunt & NR Sciver (Northern Diamonds)
1229333,2020,31-08-2020,1,Northern Diamonds,Lightning,L Winfield & HJ Armitage,1,4,L Winfield,1,HJ Armitage,0,vs Lightning (31-08-2020),L Winfield & HJ Armitage (Northern Diamonds)
1229333,2020,31-08-2020,1,Northern Diamonds,Lightning,NR Sciver & BA Langston,3,3,NR Sciver,1,BA Langston,2,vs Lightning (31-08-2020),NR Sciver & BA Langston (Northern Diamonds)
1229333,2020,31-08-2020,1,Northern Diamonds,Lightning,NR Sciver & BAM Heath,5,5,NR Sciver,2,BAM Heath,3,vs Lightning (31-08-2020),NR Sciver & BAM Heath (Northern Diamonds)
1229333,2020,31-08-2020,1,Northern Diamonds,Lightning,NR Sciver & HJ Armitage,9,9,NR Sciver,7,HJ Armitage,2,vs Lightning (31-08-2020),NR Sciver & HJ Armitage (Northern Diamonds)
1229333,2020,31-08-2020,1,Northern Diamonds,Lightning,NR Sciver & LCN Smith,37,42,NR Sciver,14,LCN Smith,23,vs Lightning (31-08-2020),NR Sciver & LCN Smith (Northern Diamonds)
1229333,2020,31-08-2020,1,Northern Diamonds,Lightning,SL Kalis & NR Sciver,0,0,SL Kalis,0,NR Sciver,0,vs Lightning (31-08-2020),SL Kalis & NR Sciver (Northern Diamonds)
1229333,2020,31-08-2020,2,Lightning,Northern Diamonds,B Ellis & KE Bryce,19,21,B Ellis,6,KE Bryce,13,vs Northern Diamonds (31-08-2020),B Ellis & KE Bryce (Lightning)
1229333,2020,31-08-2020,2,Lightning,Northern Diamonds,KE Bryce & KL Gordon,5,6,KE Bryce,3,KL Gordon,2,vs Northern Diamonds (31-08-2020),KE Bryce & KL Gordon (Lightning)
1229333,2020,31-08-2020,2,Lightning,Northern Diamonds,KE Bryce & RA Fackrell,50,52,KE Bryce,42,RA Fackrell,8,vs Northern Diamonds (31-08-2020),KE Bryce & RA Fackrell (Lightning)
1229333,2020,31-08-2020,2,Lightning,Northern Diamonds,KE Bryce & SJ Bryce,13,14,KE Bryce,9,SJ Bryce,4,vs Northern Diamonds (31-08-2020),KE Bryce & SJ Bryce (Lightning)
1229333,2020,31-08-2020,2,Lightning,Northern Diamonds,KE Bryce & T Graves,6,6,KE Bryce,4,T Graves,2,vs Northern Diamonds (31-08-2020),KE Bryce & T Graves (Lightning)
1229333,2020,31-08-2020,2,Lightning,Northern Diamonds,LF Higham & KE Bryce,0,0,LF Higham,0,KE Bryce,0,vs Northern Diamonds (31-08-2020),LF Higham & KE Bryce (Lightning)
1229333,2020,31-08-2020,2,Lightning,Northern Diamonds,N Harman & KE Bryce,0,1,N Harman,0,KE Bryce,0,vs Northern Diamonds (31-08-2020),N Harman & KE Bryce (Lightning)
1229333,2020,31-08-2020,2,Lightning,Northern Diamonds,TT Beaumont & SJ Bryce,104,117,TT Beaumont,51,SJ Bryce,53,vs Northern Diamonds (31-08-2020),TT Beaumont & SJ Bryce (Lightning)
1229334,2020,05-09-2020,1,Thunder,Central Sparks,A Hartley & R Duckworth,5,8,A Hartley,5,R Duckworth,0,vs Central Sparks (05-09-2020),A Hartley & R Duckworth (Thunder)
1229334,2020,05-09-2020,1,Thunder,Central Sparks,E Threlkeld & GEB Boyce,1,1,E Threlkeld,0,GEB Boyce,1,vs Central Sparks (05-09-2020),E Threlkeld & GEB Boyce (Thunder)
1229334,2020,05-09-2020,1,Thunder,Central Sparks,L Heap & R Duckworth,1,1,L Heap,0,R Duckworth,1,vs Central Sparks (05-09-2020),L Heap & R Duckworth (Thunder)
1229334,2020,05-09-2020,1,Thunder,Central Sparks,L Jackson & GEB Boyce,6,8,L Jackson,1,GEB Boyce,5,vs Central Sparks (05-09-2020),L Jackson & GEB Boyce (Thunder)
1229334,2020,05-09-2020,1,Thunder,Central Sparks,L Marshall & GEB Boyce,46,53,L Marshall,25,GEB Boyce,21,vs Central Sparks (05-09-2020),L Marshall & GEB Boyce (Thunder)
1229334,2020,05-09-2020,1,Thunder,Central Sparks,N Brown & E Threlkeld,40,44,N Brown,18,E Threlkeld,22,vs Central Sparks (05-09-2020),N Brown & E Threlkeld (Thunder)
1229334,2020,05-09-2020,1,Thunder,Central Sparks,N Brown & R Duckworth,13,15,N Brown,9,R Duckworth,4,vs Central Sparks (05-09-2020),N Brown & R Duckworth (Thunder)
1229334,2020,05-09-2020,1,Thunder,Central Sparks,Olivia Thomas & R Duckworth,1,1,Olivia Thomas,0,R Duckworth,1,vs Central Sparks (05-09-2020),Olivia Thomas & R Duckworth (Thunder)
1229334,2020,05-09-2020,1,Thunder,Central Sparks,R Duckworth & AE Dyson,33,35,R Duckworth,12,AE Dyson,21,vs Central Sparks (05-09-2020),R Duckworth & AE Dyson (Thunder)
1229334,2020,05-09-2020,2,Central Sparks,Thunder,E Jones & GM Davies,100,114,E Jones,63,GM Davies,37,vs Thunder (05-09-2020),E Jones & GM Davies (Central Sparks)
1229334,2020,05-09-2020,2,Central Sparks,Thunder,Marie Kelly & E Jones,48,50,Marie Kelly,21,E Jones,27,vs Thunder (05-09-2020),Marie Kelly & E Jones (Central Sparks)
1229334,2020,05-09-2020,2,Central Sparks,Thunder,Marie Kelly & P Davies,2,3,Marie Kelly,0,P Davies,2,vs Thunder (05-09-2020),Marie Kelly & P Davies (Central Sparks)
1229335,2020,05-09-2020,1,Western Storm,Sunrisers,C Nicholas & E Corney,19,21,C Nicholas,13,E Corney,6,vs Sunrisers (05-09-2020),C Nicholas & E Corney (Western Storm)
1229335,2020,05-09-2020,1,Western Storm,Sunrisers,C Nicholas & SN Luff,46,55,C Nicholas,11,SN Luff,35,vs Sunrisers (05-09-2020),C Nicholas & SN Luff (Western Storm)
1229335,2020,05-09-2020,1,Western Storm,Sunrisers,FMK Morris & LA Parfitt,36,43,FMK Morris,18,LA Parfitt,18,vs Sunrisers (05-09-2020),FMK Morris & LA Parfitt (Western Storm)
1229335,2020,05-09-2020,1,Western Storm,Sunrisers,GM Hennessy & SN Luff,10,12,GM Hennessy,4,SN Luff,6,vs Sunrisers (05-09-2020),GM Hennessy & SN Luff (Western Storm)
1229335,2020,05-09-2020,1,Western Storm,Sunrisers,SN Luff & A Griffiths,63,80,SN Luff,20,A Griffiths,43,vs Sunrisers (05-09-2020),SN Luff & A Griffiths (Western Storm)
1229335,2020,05-09-2020,1,Western Storm,Sunrisers,SN Luff & FMK Morris,12,14,SN Luff,6,FMK Morris,6,vs Sunrisers (05-09-2020),SN Luff & FMK Morris (Western Storm)
1229335,2020,05-09-2020,1,Western Storm,Sunrisers,SN Luff & NAJ Wraith,36,40,SN Luff,18,NAJ Wraith,18,vs Sunrisers (05-09-2020),SN Luff & NAJ Wraith (Western Storm)
