player,overs_bowled,wickets_taken,econ_rate,bowling_average,bowler_strikerate,inv_econ_rate,inv_bowling_average,inv_bowler_strikerate,overs_bowled_scaled,wickets_taken_scaled,econ_rate_scaled,bowling_average_scaled,bowler_strikerate_scaled,bowler_score,bowler_score_scaled
J Gardner,62.0,8.0,6.26,30.08,35.5,0.1597444089456869,0.03324468085106383,0.028169014084507043,0.5260332151238721,0.016352398211748952,-1.0554363462806198,-0.7606914048131337,-0.560586856436121,-0.42920820571664997,0.1770064909874787
J Groves,8.0,,7.38,,,0.13550135501355015,,,-1.0979835715372703,,-1.5893845213035682,,,-0.8817423933726094,0.0
J Roberts,3.0,,5.0,,,0.2,,,-1.248355496228117,,-0.1688154016550128,,,-0.8817423933726094,0.0
JL Gunn,91.0,17.0,4.15,21.35,31.22,0.24096385542168672,0.046838407494145196,0.032030749519538756,1.3981903783307819,1.354275888263932,0.7334049170202306,-0.07425396213457729,-0.25225170945117303,0.745995252739307,0.636681463734035
K Moore,13.0,2.0,4.89,23.0,30.0,0.20449897750511248,0.043478260869565216,0.03333333333333333,-0.9476116468464238,-0.8755965951563732,-0.06972636629467398,-0.24393005733365142,-0.14824863144558034,-0.4738776152954237,0.15953427417005592
KA Levick,120.0,23.0,3.67,20.47,36.69,0.2724795640326976,0.04885197850512946,0.027255382938130283,2.2703475415376917,2.2462248816320542,1.427531785050553,0.027424596786216726,-0.6335345242780511,1.2779737868685694,0.8447622147036649
KE Bryce,119.0,24.0,3.84,26.66,39.45,0.2604166666666667,0.037509377344336084,0.025348542458808618,2.2402731565995224,2.394883047193408,1.1618490021754488,-0.5453385857146298,-0.7857836747856042,1.1607607881761663,0.7989149347354263
KH Brunt,45.0,15.0,2.83,13.38,24.56,0.35335689045936397,0.07473841554559042,0.04071661237785017,0.014768671174993916,1.0569595571412247,3.2088379260647595,1.3346025406032174,0.4412594971461674,1.4921110435938372,0.9285209348988358
KJ Wolfe,45.0,7.0,4.78,27.0,35.4,0.20920502092050208,0.037037037037037035,0.02824858757062147,0.014768671174993916,-0.13230576734960472,0.03392325228308619,-0.5691901814638634,-0.5542334169139248,-0.21221660006698886,0.26188167553151537
KL Coppack,34.0,3.0,5.19,37.0,38.0,0.19267822736030826,0.02702702702702703,0.02631578947368421,-0.31604956314486843,-0.7269384295950195,-0.33007590744112486,-1.074661995990544,-0.7085551189925354,-0.6565793941029944,0.08807138441268644
KL Cross,56.0,10.0,4.38,24.2,34.0,0.22831050228310504,0.04132231404958678,0.029411764705882353,0.34558690549485627,0.31366872933445633,0.4547174696722512,-0.35279811541029243,-0.4613610803688787,0.13430232505971246,0.39742082521463545
KL George,16.0,2.0,3.63,29.0,48.0,0.27548209366391185,0.034482758620689655,0.020833333333333332,-0.8573884920319159,-0.8755965951563732,1.4936618700442583,-0.6981726444810162,-1.1462945623885938,-0.296362676183522,0.2289683574440953
KL Gordon,99.0,19.0,3.51,19.1,31.75,0.2849002849002849,0.05235602094240837,0.031496062992125984,1.6387854578361365,1.6515922193866395,1.7010955554518659,0.2043669462123079,-0.2949430464923225,1.1542636344674269,0.7963736054596268
KL Midwood,47.0,3.0,4.93,29.25,39.0,0.20283975659229211,0.03418803418803419,0.02564102564102564,0.07491744105133252,-0.7269384295950195,-0.10627035868277566,-0.7130552363676106,-0.7624307427951271,-0.5349199863305458,0.13565785512103343
KS Castle,61.0,11.0,4.96,21.98,30.57,0.20161290322580647,0.04549590536851683,0.03271180896303565,0.4959588301857028,0.46232689489581,-0.13329154660280906,-0.14204580098076205,-0.1978734209461818,0.12541792952786535,0.39394573820345774
L Filer,51.0,8.0,5.93,26.75,29.0,0.16863406408094436,0.037383177570093455,0.034482758620689655,0.19521498080400976,0.016352398211748952,-0.859643557577462,-0.5517112495596698,-0.05647429296806186,-0.28983701244862514,0.2315208382744641
L Heap,25.0,6.0,5.74,27.33,27.5,0.17421602787456444,0.036589828027808274,0.03636363636363636,-0.5867190275883922,-0.28096393291095845,-0.7367019764965127,-0.5917727312456806,0.09370189726787737,-0.4006076437646017,0.18819345818132713
L Jackson,44.0,6.0,3.94,11.72,25.0,0.25380710659898476,0.08532423208191126,0.04,-0.01530571376317539,-0.28096393291095845,1.0162748288174857,1.8691506466999945,0.38404253172402697,0.47889682511543247,0.5322072456271846
L Tipton,2.0,,6.0,,,0.16666666666666666,,,-1.2784298811662862,,-0.9029750727338886,,,-0.8817423933726094,0.0
LA Parfitt,3.0,,5.67,,,0.1763668430335097,,,-1.248355496228117,,-0.6893307240072317,,,-0.8817423933726094,0.0
LCN Smith,104.0,16.0,3.56,18.29,34.5,0.2808988764044944,0.05467468562055768,0.028985507246376812,1.7891573825269829,1.2056177227025784,1.6129653730982128,0.32145170846239907,-0.4953950422083676,0.9488548014200383,0.7160289646626912
LF Higham,76.0,13.0,5.56,15.67,26.17,0.1798561151079137,0.06381620931716656,0.03821169277799006,0.9470746042582424,0.7596432260185174,-0.6124802388537574,0.7830678872517064,0.2412575120277849,0.3517397707988035,0.4824703978865179
LG Kellogg,10.0,2.0,5.44,22.5,30.0,0.1838235294117647,0.044444444444444446,0.03333333333333333,-1.0378348016609318,-0.8755965951563732,-0.5250987714432911,-0.19514103871411947,-0.14824863144558034,-0.5849135215303736,0.11610313311512803
LK Bell,89.0,16.0,4.38,24.35,32.12,0.22831050228310504,0.04106776180698152,0.031133250311332506,1.3380416084544433,1.2056177227025784,0.4547174696722512,-0.365652146908048,-0.323911344073159,0.5593940132746353,0.5636933193848911
ME Bouchier,23.0,2.0,5.01,16.5,18.0,0.1996007984031936,0.06060606060606061,0.05555555555555555,-0.6468677974647308,-0.8755965951563732,-0.1776077330451792,0.6209661818307758,1.6260552457864434,-0.08993074705449777,0.30971317717180163
MJ Robbins,9.0,,7.97,,,0.12547051442910917,,,-1.067909186599101,,-1.8103116800271029,,,-0.8817423933726094,0.0
MK Villiers,50.0,6.0,5.06,28.06,36.67,0.19762845849802374,0.03563791874554526,0.02727024815925825,0.16514059586584043,-0.28096393291095845,-0.22104810552623683,-0.6398409461314911,-0.6323476304013044,-0.3502188562325699,0.20790278116608993
MS Belt,17.0,2.0,4.94,41.0,51.0,0.20242914979757085,0.024390243902439025,0.0196078431372549,-0.8273141070937466,-0.8755965951563732,-0.1153138871634352,-1.2078106690853767,-1.2441422026771245,-0.7882257459724706,0.03657857031963384
Marie Kelly,2.0,1.0,4.5,9.0,12.0,0.2222222222222222,0.1111111111111111,0.08333333333333333,-1.2784298811662862,-1.0242547607177268,0.32062437906423685,3.1713012460335737,3.8439350923264732,0.6588181471746611,0.6025825735918954
N Brown,53.0,5.0,4.91,39.0,43.2,0.20366598778004072,0.02564102564102564,0.023148148148148147,0.25536375068034833,-0.4296220984723121,-0.08807279017179694,-1.1446504010788536,-0.9614712418435915,-0.49701709583622344,0.15048338173910908
N Harman,24.0,2.0,5.69,27.0,27.0,0.17574692442882248,0.037037037037037035,0.037037037037037035,-0.6167934125265615,-0.8755965951563732,-0.702984301174617,-0.5691901814638634,0.14746868142642353,-0.6200826089881476,0.10234691992297686
