match_id,season,start_date,batting_team,bowling_team,bowler,wicket_type,player_dismissed
1229346,2020,19-09-2020,South East Stars,Southern Vipers,CM Taylor,stumped,AN Davidson-Richards
1229346,2020,19-09-2020,South East Stars,Southern Vipers,LK Bell,bowled,NE Farrant
1229346,2020,19-09-2020,South East Stars,Southern Vipers,LK Bell,caught,HV Jones
1229346,2020,19-09-2020,South East Stars,Southern Vipers,LK Bell,caught,PA Franklin
1229346,2020,19-09-2020,South East Stars,Southern Vipers,GL Adams,run out,GJ Gibbs
1229346,2020,19-09-2020,South East Stars,Southern Vipers,GL Adams,run out,D Gregory
1229346,2020,19-09-2020,Southern Vipers,South East Stars,D Gregory,lbw,EM McCaughan
1229346,2020,19-09-2020,Southern Vipers,South East Stars,HV Jones,caught and bowled,GL Adams
1229346,2020,19-09-2020,Southern Vipers,South East Stars,D Gregory,lbw,ME Bouchier
1229346,2020,19-09-2020,Southern Vipers,South East Stars,D Gregory,lbw,CE Dean
1229346,2020,19-09-2020,Southern Vipers,South East Stars,HV Jones,caught,PJ Scholfield
1229346,2020,19-09-2020,Southern Vipers,South East Stars,NE Farrant,bowled,CE Rudd
1229347,2020,19-09-2020,Thunder,Northern Diamonds,BA Langston,bowled,L Marshall
1229347,2020,19-09-2020,Thunder,Northern Diamonds,PC Graham,lbw,A Clarke
1229347,2020,19-09-2020,Thunder,Northern Diamonds,PC Graham,bowled,E Threlkeld
1229347,2020,19-09-2020,Thunder,Northern Diamonds,LCN Smith,bowled,N Brown
1229347,2020,19-09-2020,Thunder,Northern Diamonds,JL Gunn,caught,GEB Boyce
1229347,2020,19-09-2020,Thunder,Northern Diamonds,JL Gunn,lbw,DL Collins
1229347,2020,19-09-2020,Thunder,Northern Diamonds,KA Levick,bowled,AE Dyson
1229347,2020,19-09-2020,Thunder,Northern Diamonds,KA Levick,lbw,A Hartley
1229347,2020,19-09-2020,Thunder,Northern Diamonds,BA Langston,bowled,L Heap
1229347,2020,19-09-2020,Thunder,Northern Diamonds,BA Langston,bowled,R Duckworth
1229347,2020,19-09-2020,Northern Diamonds,Thunder,HE Jones,bowled,RHM Hopkins
1229347,2020,19-09-2020,Northern Diamonds,Thunder,A Hartley,caught and bowled,HJ Armitage
1229347,2020,19-09-2020,Northern Diamonds,Thunder,L Heap,stumped,A Campbell
1229347,2020,19-09-2020,Northern Diamonds,Thunder,L Heap,run out,AL MacDonald
1229348,2020,19-09-2020,Lightning,Central Sparks,HL Baker,caught,B Ellis
1229348,2020,19-09-2020,Lightning,Central Sparks,Anisha Patel,caught,KE Bryce
