batting_team,partnership,batter1,batter2,batter1_runs,batter2_runs,from_node,to_node
Southern Vipers,AZ Monaghan & TG Norris,AZ Monaghan,TG Norris,1,0,TG Norris,AZ Monaghan
Southern Vipers,CE Dean & CE Rudd,CE Dean,CE Rudd,24,23,CE Rudd,CE Dean
Southern Vipers,CE Dean & DN Wyatt,CE Dean,DN Wyatt,2,1,DN Wyatt,CE Dean
Southern Vipers,CE Dean & GA Elwiss,CE Dean,GA Elwiss,12,2,GA Elwiss,CE Dean
Southern Vipers,CE Rudd & DN Wyatt,CE Rudd,DN Wyatt,10,39,CE Rudd,DN Wyatt
Southern Vipers,CE Rudd & E Windsor,CE Rudd,E Windsor,49,59,CE Rudd,E Windsor
Southern Vipers,CE Rudd & GL Adams,CE Rudd,GL Adams,0,1,CE Rudd,GL Adams
Southern Vipers,CM Taylor & AZ Monaghan,CM Taylor,AZ Monaghan,10,3,AZ Monaghan,CM Taylor
Southern Vipers,CM Taylor & LK Bell,CM Taylor,LK Bell,1,6,CM Taylor,LK Bell
Southern Vipers,CM Taylor & PAC Cowdrill,CM Taylor,PAC Cowdrill,3,4,CM Taylor,PAC Cowdrill
Southern Vipers,DN Wyatt & E Windsor,DN Wyatt,E Windsor,13,14,DN Wyatt,E Windsor
Southern Vipers,E Windsor & AZ Monaghan,E Windsor,AZ Monaghan,6,1,AZ Monaghan,E Windsor
Southern Vipers,E Windsor & CE Dean,E Windsor,CE Dean,14,11,CE Dean,E Windsor
Southern Vipers,E Windsor & CM Taylor,E Windsor,CM Taylor,16,6,CM Taylor,E Windsor
Southern Vipers,E Windsor & EM McCaughan,E Windsor,EM McCaughan,2,8,E Windsor,EM McCaughan
Southern Vipers,E Windsor & GA Elwiss,E Windsor,GA Elwiss,1,0,GA Elwiss,E Windsor
Southern Vipers,E Windsor & GL Adams,E Windsor,GL Adams,16,31,E Windsor,GL Adams
Southern Vipers,E Windsor & PJ Scholfield,E Windsor,PJ Scholfield,22,34,E Windsor,PJ Scholfield
Southern Vipers,EM McCaughan & CE Dean,EM McCaughan,CE Dean,5,7,EM McCaughan,CE Dean
Southern Vipers,ER Chandler & AZ Monaghan,ER Chandler,AZ Monaghan,5,1,AZ Monaghan,ER Chandler
Southern Vipers,GA Elwiss & CE Rudd,GA Elwiss,CE Rudd,2,1,CE Rudd,GA Elwiss
Southern Vipers,GA Elwiss & DN Wyatt,GA Elwiss,DN Wyatt,45,38,DN Wyatt,GA Elwiss
Southern Vipers,GA Elwiss & EM McCaughan,GA Elwiss,EM McCaughan,0,5,GA Elwiss,EM McCaughan
Southern Vipers,GA Elwiss & LK Bell,GA Elwiss,LK Bell,8,1,LK Bell,GA Elwiss
Southern Vipers,GA Elwiss & ME Bouchier,GA Elwiss,ME Bouchier,22,23,GA Elwiss,ME Bouchier
Southern Vipers,GA Elwiss & TG Norris,GA Elwiss,TG Norris,2,3,GA Elwiss,TG Norris
