season,batting_team,partnership,batter1,batter2,net_runs,batter1_runs,batter2_runs
2021,Sunrisers,KS Castle & J Gardner,KS Castle,J Gardner,22,13,7
2021,Lightning,KE Bryce & KL Gordon,KE Bryce,KL Gordon,22,10,6
2021,South East Stars,SIR Dunkley & A Capsey,SIR Dunkley,A Capsey,22,13,7
2020,Sunrisers,AJ Macleod & G Scrivens,AJ Macleod,G Scrivens,22,8,9
2021,South East Stars,C Brewer & K Moore,C Brewer,K Moore,22,17,3
2020,Sunrisers,H Brown & ND Dattani,H Brown,ND Dattani,22,6,14
2020,Northern Diamonds,KA Levick & PC Graham,KA Levick,PC Graham,21,8,11
2021,Western Storm,FMK Morris & GM Hennessy,FMK Morris,GM Hennessy,21,12,5
2021,Central Sparks,E Jones & RA Fackrell,E Jones,RA Fackrell,21,11,7
2020,Sunrisers,AD Carr & AJ Macleod,AD Carr,AJ Macleod,21,17,1
2020,Western Storm,C Nicholas & E Corney,C Nicholas,E Corney,21,13,6
2020,Thunder,L Heap & AE Dyson,L Heap,AE Dyson,21,15,3
2020,Sunrisers,KS Castle & Sonali Patel,KS Castle,Sonali Patel,21,9,10
2020,Sunrisers,G Scrivens & MK Villiers,G Scrivens,MK Villiers,21,8,10
2021,Western Storm,NAJ Wraith & A Shrubsole,NAJ Wraith,A Shrubsole,20,3,16
2021,Northern Diamonds,JL Gunn & BA Langston,JL Gunn,BA Langston,20,7,13
2020,Thunder,A Hartley & S Ecclestone,A Hartley,S Ecclestone,20,0,20
2021,Central Sparks,IECM Wong & AE Jones,IECM Wong,AE Jones,20,7,12
2020,Sunrisers,MK Villiers & AD Carr,MK Villiers,AD Carr,20,12,7
2020,Northern Diamonds,A Campbell & RHM Hopkins,A Campbell,RHM Hopkins,19,15,3
2020,Lightning,S Pai & AJ Freeborn,S Pai,AJ Freeborn,19,8,10
2020,Central Sparks,CK Boycott & E Jones,CK Boycott,E Jones,19,5,14
2021,Western Storm,C Skelton & N Harvey,C Skelton,N Harvey,18,13,3
2020,Lightning,AJ Freeborn & KE Bryce,AJ Freeborn,KE Bryce,18,10,8
2021,Northern Diamonds,NR Sciver & L Winfield,NR Sciver,L Winfield,18,7,9
2021,Thunder,HE Jones & E Threlkeld,HE Jones,E Threlkeld,18,9,9
2021,Northern Diamonds,BAM Heath & SL Kalis,BAM Heath,SL Kalis,18,6,10
2020,Lightning,S Pai & T Graves,S Pai,T Graves,18,9,5
2021,Central Sparks,E Jones & AE Jones,E Jones,AE Jones,18,7,5
2021,Lightning,S Pai & ML Kirk,S Pai,ML Kirk,18,9,6
2020,Northern Diamonds,KA Levick & BA Langston,KA Levick,BA Langston,18,8,10
