match_id,season,start_date,innings,batting_team,bowling_team,bowler,wicketcounts,bowler_labels,message
1229334,2020,05-09-2020,1,Thunder,Central Sparks,TF Brookes,2,TF Brookes (Central Sparks),vs Thunder (05-09-2020)
1252292,2021,22-09-2021,1,Central Sparks,Northern Diamonds,LCN Smith,2,LCN Smith (Northern Diamonds),vs Central Sparks (22-09-2021)
1229333,2020,31-08-2020,2,Lightning,Northern Diamonds,NR Sciver,2,NR Sciver (Northern Diamonds),vs Lightning (31-08-2020)
1229328,2020,29-08-2020,2,Lightning,Thunder,S Ecclestone,2,S Ecclestone (Thunder),vs Lightning (29-08-2020)
1229328,2020,29-08-2020,2,Lightning,Thunder,A Hartley,2,A Hartley (Thunder),vs Lightning (29-08-2020)
1229328,2020,29-08-2020,1,Thunder,Lightning,LF Higham,2,LF Higham (Lightning),vs Thunder (29-08-2020)
1229327,2020,29-08-2020,1,Central Sparks,Northern Diamonds,BA Langston,2,BA Langston (Northern Diamonds),vs Central Sparks (29-08-2020)
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,HC Knight,2,HC Knight (Western Storm),vs Southern Vipers (31-08-2020)
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,LK Bell,2,LK Bell (Southern Vipers),vs Western Storm (31-08-2020)
1229331,2020,31-08-2020,1,South East Stars,Sunrisers,J Gardner,2,J Gardner (Sunrisers),vs South East Stars (31-08-2020)
1229331,2020,31-08-2020,1,South East Stars,Sunrisers,KJ Wolfe,2,KJ Wolfe (Sunrisers),vs South East Stars (31-08-2020)
1252293,2021,25-09-2021,2,Southern Vipers,Northern Diamonds,BA Langston,2,BA Langston (Northern Diamonds),vs Southern Vipers (25-09-2021)
1252293,2021,25-09-2021,1,Northern Diamonds,Southern Vipers,TG Norris,2,TG Norris (Southern Vipers),vs Northern Diamonds (25-09-2021)
1229331,2020,31-08-2020,2,Sunrisers,South East Stars,HV Jones,2,HV Jones (South East Stars),vs Sunrisers (31-08-2020)
1229331,2020,31-08-2020,2,Sunrisers,South East Stars,SIR Dunkley,2,SIR Dunkley (South East Stars),vs Sunrisers (31-08-2020)
1229332,2020,31-08-2020,1,Thunder,Central Sparks,CK Boycott,2,CK Boycott (Central Sparks),vs Thunder (31-08-2020)
1229332,2020,31-08-2020,2,Central Sparks,Thunder,A Hartley,2,A Hartley (Thunder),vs Central Sparks (31-08-2020)
1252293,2021,25-09-2021,1,Northern Diamonds,Southern Vipers,CM Taylor,2,CM Taylor (Southern Vipers),vs Northern Diamonds (25-09-2021)
1229332,2020,31-08-2020,2,Central Sparks,Thunder,S Ecclestone,2,S Ecclestone (Thunder),vs Central Sparks (31-08-2020)
1229333,2020,31-08-2020,1,Northern Diamonds,Lightning,B Ellis,2,B Ellis (Lightning),vs Northern Diamonds (31-08-2020)
1252292,2021,22-09-2021,2,Northern Diamonds,Central Sparks,EL Arlott,2,EL Arlott (Central Sparks),vs Northern Diamonds (22-09-2021)
1229333,2020,31-08-2020,2,Lightning,Northern Diamonds,JL Gunn,2,JL Gunn (Northern Diamonds),vs Lightning (31-08-2020)
1252292,2021,22-09-2021,1,Central Sparks,Northern Diamonds,R Slater,2,R Slater (Northern Diamonds),vs Central Sparks (22-09-2021)
1229333,2020,31-08-2020,2,Lightning,Northern Diamonds,LCN Smith,2,LCN Smith (Northern Diamonds),vs Lightning (31-08-2020)
1229338,2020,10-09-2020,2,Thunder,Northern Diamonds,HJ Armitage,2,HJ Armitage (Northern Diamonds),vs Thunder (10-09-2020)
1252277,2021,12-06-2021,1,Sunrisers,Lightning,S Munro,2,S Munro (Lightning),vs Sunrisers (12-06-2021)
